B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,OM [%]
1707.0,1604.0,1659.0,1915.0,1912.0,2031.0,2208.0,2127.0,2365.0,717.0,17.0,3321.0,2736.0,0.9
2197.0,1956.0,2247.0,3029.0,3288.0,3533.0,3865.0,3503.0,4037.0,1324.0,20.0,5168.0,3701.0,3.1
1541.0,1452.0,1691.0,2556.0,2699.0,2900.0,3122.0,3082.0,3390.0,1070.0,19.0,4322.0,3539.0,4.3
1886.0,1907.0,2350.0,3349.0,3493.0,3784.0,4017.0,3820.0,4203.0,1147.0,20.0,5215.0,3836.0,2.4
1452.0,1302.0,1467.0,2365.0,2638.0,2912.0,3092.0,2888.0,3289.0,1011.0,19.0,3998.0,2996.0,4.2
2003.0,2057.0,2330.0,3085.0,3229.0,3637.0,4015.0,3767.0,4225.0,1250.0,20.0,4637.0,3451.0,1.1
1778.0,1570.0,1494.0,1608.0,1782.0,1998.0,2209.0,1928.0,2291.0,643.0,15.0,2461.0,2093.0,7.8
1905.0,1913.0,1958.0,2280.0,2319.0,2536.0,2700.0,2492.0,2773.0,779.0,17.0,3520.0,2806.0,0.9
2780.0,2127.0,2261.0,2547.0,2378.0,2604.0,2830.0,2922.0,3132.0,1145.0,17.0,3997.0,3221.0,0.8
1663.0,1423.0,1589.0,2083.0,2414.0,2704.0,2892.0,2390.0,3132.0,895.0,15.0,3604.0,2961.0,0.5
1503.0,1526.0,1940.0,2772.0,2895.0,3200.0,3400.0,3353.0,3516.0,1107.0,17.0,4378.0,3714.0,0.6
1502.0,1575.0,1824.0,2403.0,2137.0,2487.0,2801.0,2768.0,2930.0,970.0,15.0,2945.0,2087.0,1.4
1127.0,799.0,568.0,320.0,302.0,382.0,414.0,338.0,435.0,356.0,8.0,155.0,71.0,6.19
2027.0,3135.0,4295.0,4946.0,5066.0,5018.0,5161.0,4828.0,5292.0,1244.0,15.0,4960.0,4465.0,16.86
1224.0,1043.0,873.0,431.0,375.0,335.0,322.0,285.0,284.0,112.0,8.0,166.0,130.0,11.18
1314.0,1391.0,1334.0,1478.0,1347.0,1421.0,1569.0,1576.0,1535.0,575.0,12.0,1789.0,1613.0,15.82
