,lat,long,NDVI,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,pH
373,38.6006,-3.4667,0.09104330708661418,1274.0,1128.0,1250.0,1847.0,1976.0,2145.0,2294.0,2217.0,2366.0,928.0,20.0,3332.0,2618.0,7.8
374,38.6006,-3.4834,0.16522837297411072,1301.0,1114.0,1245.0,1983.0,2260.0,2722.0,2968.0,2768.0,3067.0,1211.0,18.0,3629.0,2737.0,7.5
375,38.584,-3.2833,0.08608385370205174,1306.0,1304.0,1499.0,2049.0,2080.0,2301.0,2477.0,2435.0,2643.0,1021.0,18.0,3348.0,2649.0,7.0
376,39.309,-3.2333,0.1011206328279499,1888.0,2118.0,2465.0,3409.0,3606.0,3880.0,4203.0,4176.0,4619.0,1579.0,23.0,5243.0,3571.0,7.5
377,38.8173,-3.3333,0.14715025906735751,1329.0,1138.0,1150.0,1646.0,1702.0,1959.0,2197.0,2214.0,2432.0,1000.0,18.0,3288.0,2281.0,7.7
378,38.8006,-3.4084,0.19969070172047168,1335.0,1207.0,1380.0,2070.0,2319.0,2875.0,3123.0,3103.0,3313.0,1216.0,21.0,3823.0,3026.0,7.7
379,38.584,-4.9001,0.11221009549795362,1696.0,1731.0,1894.0,2603.0,2739.0,3026.0,3266.0,3261.0,3632.0,1256.0,20.0,4189.0,2973.0,7.0
380,38.4006,-4.8834,0.17990975083382382,1518.0,1464.0,1593.0,2090.0,2369.0,2695.0,3011.0,3007.0,3431.0,1354.0,23.0,4397.0,2846.0,8.3
381,38.3506,-4.9334,0.10635838150289018,1463.0,1423.0,1384.0,1546.0,1625.0,1841.0,1981.0,1914.0,2193.0,884.0,19.0,2687.0,1907.0,5.7
382,38.4409,-4.8069999999999995,0.15384615384615385,1683.0,1653.0,1836.0,2431.0,2758.0,3079.0,3475.0,3315.0,3761.0,1364.0,24.0,4451.0,3350.0,4.8
383,38.3979,-4.8168,0.14383673469387756,1725.0,1737.0,1926.0,2622.0,2909.0,3235.0,3549.0,3503.0,3993.0,1434.0,24.0,4921.0,3350.0,5.3
384,38.3451,-4.7376,0.19406041986687148,1390.0,1383.0,1434.0,1574.0,1734.0,2410.0,2831.0,2332.0,3203.0,1135.0,20.0,2796.0,1716.0,5.9
385,37.7784,-5.0987,0.1646586345381526,1605.0,1534.0,1615.0,2080.0,2255.0,2622.0,2939.0,2900.0,3390.0,1025.0,20.0,4130.0,2739.0,8.0
386,37.8034,-5.0765,0.15948813982521848,1682.0,1798.0,2020.0,2693.0,2734.0,3293.0,3608.0,3715.0,4069.0,1182.0,21.0,3840.0,2510.0,7.9
387,37.8173,-4.7834,0.15908263560247543,1674.0,1641.0,1770.0,2310.0,2625.0,2919.0,3258.0,3184.0,3619.0,1144.0,19.0,4254.0,2867.0,7.8
388,37.3173,-4.3667,0.14115477372676977,2170.0,2364.0,2595.0,3027.0,3313.0,3864.0,4241.0,4022.0,4488.0,1457.0,19.0,4678.0,3542.0,7.5
