,lat,long,NDVI,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,Ca [mg/kg]
62,37.2006,-2.5166,0.15722427086825344,1312.0,1168.0,1185.0,1257.0,1412.0,1651.0,1778.0,1726.0,1867.0,809.0,11.0,1895.0,1372.0,960.0
63,37.2006,-2.3,0.10595647193585338,1340.0,1236.0,1297.0,1561.0,1657.0,1814.0,1984.0,1931.0,2072.0,853.0,13.0,2725.0,1957.0,1620.0
64,37.1839,-2.2,0.04842322936412201,1721.0,2038.0,2186.0,2761.0,2792.0,2895.0,3201.0,3042.0,3290.0,1002.0,15.0,3593.0,2837.0,1640.0
65,37.2339,-1.8333,0.1830289193302892,2150.0,1750.0,1867.0,2147.0,2598.0,3245.0,3524.0,3109.0,3570.0,1080.0,18.0,3301.0,2725.0,1200.0
66,37.1173,-2.7667,0.15379494007989347,1281.0,1152.0,1160.0,1271.0,1348.0,1591.0,1772.0,1733.0,1831.0,701.0,12.0,1738.0,1231.0,1840.0
67,37.0006,-2.7333,0.08312056737588652,1504.0,1438.0,1492.0,1616.0,1639.0,1849.0,1960.0,1909.0,2071.0,736.0,13.0,2174.0,1635.0,1240.0
68,37.0339,-2.5666,0.0812720848056537,1447.0,1253.0,1247.0,1430.0,1511.0,1641.0,1771.0,1683.0,1853.0,768.0,12.0,2192.0,1626.0,2420.0
69,37.0839,-2.35,0.0028836911246395386,1600.0,1443.0,1439.0,1556.0,1612.0,1656.0,1716.0,1565.0,1753.0,607.0,11.0,1682.0,1334.0,240.0
70,37.1506,-2.25,0.08987226277372262,1610.0,1483.0,1573.0,1995.0,2126.0,2320.0,2514.0,2389.0,2728.0,963.0,15.0,3461.0,2643.0,460.0
71,37.0839,-2.2333,0.13800229621125143,1449.0,1376.0,1467.0,1877.0,1984.0,2293.0,2574.0,2478.0,2818.0,922.0,11.0,2787.0,2028.0,460.0
72,37.1506,-2.1333,0.0861169102296451,1578.0,1501.0,1512.0,1751.0,1829.0,1952.0,2106.0,2081.0,2281.0,844.0,14.0,2960.0,2157.0,840.0
73,37.1673,-1.8499,0.08779129415213249,1814.0,2371.0,2747.0,3112.0,2937.0,3387.0,3620.0,3711.0,3849.0,981.0,17.0,3697.0,2811.0,3520.0
74,36.9006,-2.9833,0.09170912459471978,1619.0,1532.0,1712.0,1961.0,2145.0,2376.0,2534.0,2357.0,2693.0,797.0,10.0,2885.0,2196.0,940.0
75,36.9673,-2.9167,0.1942797349145448,1182.0,1204.0,1121.0,1155.0,1301.0,1671.0,1834.0,1712.0,1960.0,801.0,11.0,1820.0,1283.0,780.0
76,37.0006,-2.8833,0.19532237673830594,1307.0,1146.0,1165.0,1273.0,1433.0,1787.0,1925.0,1891.0,2056.0,879.0,14.0,2160.0,1542.0,1600.0
77,36.9839,-2.7667,0.18097281831187412,1220.0,1052.0,1055.0,1145.0,1274.0,1470.0,1610.0,1651.0,1747.0,695.0,13.0,2144.0,1527.0,2140.0
78,36.8839,-2.5166,0.09474218948437897,1536.0,1517.0,1527.0,1782.0,1909.0,2119.0,2254.0,2155.0,2382.0,741.0,17.0,3241.0,2548.0,900.0
